label,name
Category,疾病百科
Category,内科
Category,呼吸内科
Category,儿科
Category,小儿内科
Category,急诊科
Category,其他科室
Category,其他综合
Category,肿瘤科
Category,肿瘤内科
Category,外科
Category,心胸外科
Category,感染科
Category,传染科
Category,儿科综合
Category,妇产科
Category,产科
Category,普外科
Category,心内科
Category,肿瘤外科
Category,神经内科
Category,风湿免疫科
Category,五官科
Category,眼科
Category,内分泌科
Category,小儿外科
Category,耳鼻喉科
Category,妇科
Category,康复科
Category,消化内科
Category,肛肠科
Category,肝病
Category,皮肤性病科
Category,皮肤科
Category,肝胆外科
Category,血液科
Category,遗传病科
Category,肾内科
Category,泌尿外科
Category,泌尿内科
Category,中医科
Category,中医综合
Category,烧伤科
Category,男科
Category,骨外科
Category,神经外科
Category,精神科
Category,口腔科
Category,营养科
Category,性病科
Category,心理科
Category,生殖健康
Category,不孕不育
Category,整形美容科
Category,减肥
Check,胸部CT检查
Check,肺活检
Check,支气管镜检查
Check,耳、鼻、咽拭子细菌培养
Check,周围血白细胞计数及分类检验
Check,血常规
Check,酶联免疫吸附试验
Check,白细胞分类计数
Check,骨髓象分析
Check,先令氏指数
Check,肺部检查
Check,肺和胸膜听诊
Check,抗链球菌型M蛋白抗体
Check,抗链球菌壁多糖抗体
Check,呼吸肌功能测定
Check,血浆蛋白C抗原
Check,肺泡气-动脉血氧分压差
Check,肺毛细血管楔压
Check,胸部透视
Check,胸部平片
Check,痰液中细胞分类
Check,痰液中寄生虫和虫卵
Check,Optochin敏感试验
Check,小白鼠毒力试验
Check,痰培养
Check,肺活量体重指数
Check,免疫电泳
Check,痰液细菌涂片检查
Check,钼靶X线检查
Check,CT检查
Check,尿常规
Check,肾功能检查
Check,神经系统检查
Check,眼底荧光血管造影
Check,肌电图
Check,脑电图检查
Check,心肺功能运动试验（CPET）
Check,痰液病原体检查
Check,痰液常规检查
Check,尿液镜检法
Check,抗肾小球基底膜抗体测定（AGBM）
Check,隐血试验与含铁血黄素检查
Check,纤维支气管镜检查
Check,肺功能检查
Check,通气与血流灌注比值（V/Q）
Check,每分钟最大通气量（MVV）
Check,肺量计检测
Check,支气管造影
Check,残气量／肺总量比值（RV/TLC）
